,time,OD,condition,strainname
12,0,0.0,Heparin,Bacteroides ovatus
13,0,0.0,Heparin,Bacteroides ovatus
14,0,0.0,Heparin,Bacteroides ovatus
15,0,0.0,Heparin & Glucose,Bacteroides ovatus
16,0,0.0,Heparin & Glucose,Bacteroides ovatus
17,0,0.0,Heparin & Glucose,Bacteroides ovatus
30,0,0.0,Heparin,Bacteroides thetaiotaomicron
31,0,0.0,Heparin,Bacteroides thetaiotaomicron
32,0,0.0,Heparin,Bacteroides thetaiotaomicron
33,0,0.0,Heparin & Glucose,Bacteroides thetaiotaomicron
34,0,0.0,Heparin & Glucose,Bacteroides thetaiotaomicron
35,0,0.0,Heparin & Glucose,Bacteroides thetaiotaomicron
102,12,0.0,Heparin,Bacteroides ovatus
103,12,0.0,Heparin,Bacteroides ovatus
104,12,0.0,Heparin,Bacteroides ovatus
105,12,0.12225,Heparin & Glucose,Bacteroides ovatus
106,12,0.07825,Heparin & Glucose,Bacteroides ovatus
107,12,0.10665,Heparin & Glucose,Bacteroides ovatus
120,12,0.0,Heparin,Bacteroides thetaiotaomicron
121,12,0.0,Heparin,Bacteroides thetaiotaomicron
122,12,0.0,Heparin,Bacteroides thetaiotaomicron
123,12,0.05704999999999999,Heparin & Glucose,Bacteroides thetaiotaomicron
124,12,0.05764999999999999,Heparin & Glucose,Bacteroides thetaiotaomicron
125,12,0.042949999999999995,Heparin & Glucose,Bacteroides thetaiotaomicron
192,24,0.0,Heparin,Bacteroides ovatus
193,24,0.0,Heparin,Bacteroides ovatus
194,24,0.0,Heparin,Bacteroides ovatus
195,24,0.188133333333333,Heparin & Glucose,Bacteroides ovatus
196,24,0.172433333333333,Heparin & Glucose,Bacteroides ovatus
197,24,0.188833333333333,Heparin & Glucose,Bacteroides ovatus
210,24,0.0,Heparin,Bacteroides thetaiotaomicron
211,24,0.0,Heparin,Bacteroides thetaiotaomicron
212,24,0.0,Heparin,Bacteroides thetaiotaomicron
213,24,0.184433333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
214,24,0.176133333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
215,24,0.160433333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
282,36,0.006933333333333334,Heparin,Bacteroides ovatus
283,36,0.006733333333333334,Heparin,Bacteroides ovatus
284,36,0.007233333333333334,Heparin,Bacteroides ovatus
285,36,0.227333333333333,Heparin & Glucose,Bacteroides ovatus
286,36,0.204333333333333,Heparin & Glucose,Bacteroides ovatus
287,36,0.232133333333333,Heparin & Glucose,Bacteroides ovatus
300,36,0.010333333333333295,Heparin,Bacteroides thetaiotaomicron
301,36,0.008433333333333334,Heparin,Bacteroides thetaiotaomicron
302,36,0.009833333333333335,Heparin,Bacteroides thetaiotaomicron
303,36,0.213333333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
304,36,0.195733333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
305,36,0.196333333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
372,48,0.015166666666666695,Heparin,Bacteroides ovatus
373,48,0.012966666666666694,Heparin,Bacteroides ovatus
374,48,0.016966666666666692,Heparin,Bacteroides ovatus
375,48,0.245266666666667,Heparin & Glucose,Bacteroides ovatus
376,48,0.222566666666667,Heparin & Glucose,Bacteroides ovatus
377,48,0.243466666666667,Heparin & Glucose,Bacteroides ovatus
390,48,0.032666666666667,Heparin,Bacteroides thetaiotaomicron
391,48,0.027666666666667,Heparin,Bacteroides thetaiotaomicron
392,48,0.023666666666667,Heparin,Bacteroides thetaiotaomicron
393,48,0.202766666666667,Heparin & Glucose,Bacteroides thetaiotaomicron
394,48,0.178366666666667,Heparin & Glucose,Bacteroides thetaiotaomicron
395,48,0.202566666666667,Heparin & Glucose,Bacteroides thetaiotaomicron
462,60,0.0452333333333333,Heparin,Bacteroides ovatus
463,60,0.0477333333333333,Heparin,Bacteroides ovatus
464,60,0.0460333333333333,Heparin,Bacteroides ovatus
465,60,0.218383333333333,Heparin & Glucose,Bacteroides ovatus
466,60,0.219123333333333,Heparin & Glucose,Bacteroides ovatus
467,60,0.219073333333333,Heparin & Glucose,Bacteroides ovatus
480,60,0.0861333333333333,Heparin,Bacteroides thetaiotaomicron
481,60,0.0928333333333333,Heparin,Bacteroides thetaiotaomicron
482,60,0.071933333333333,Heparin,Bacteroides thetaiotaomicron
483,60,0.217443333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
484,60,0.215103333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
485,60,0.216683333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
552,72,0.0433833333333333,Heparin,Bacteroides ovatus
553,72,0.0455833333333333,Heparin,Bacteroides ovatus
554,72,0.0467833333333333,Heparin,Bacteroides ovatus
555,72,0.218908333333333,Heparin & Glucose,Bacteroides ovatus
556,72,0.218538333333333,Heparin & Glucose,Bacteroides ovatus
557,72,0.217588333333333,Heparin & Glucose,Bacteroides ovatus
570,72,0.0833333333333,Heparin,Bacteroides thetaiotaomicron
571,72,0.088833333333333,Heparin,Bacteroides thetaiotaomicron
572,72,0.0833333333333,Heparin,Bacteroides thetaiotaomicron
573,72,0.216598333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
574,72,0.215168333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
575,72,0.217008333333333,Heparin & Glucose,Bacteroides thetaiotaomicron
642,84,0.0452166666666667,Heparin,Bacteroides ovatus
643,84,0.0455166666666667,Heparin,Bacteroides ovatus
644,84,0.0447166666666667,Heparin,Bacteroides ovatus
645,84,0.219161666666666,Heparin & Glucose,Bacteroides ovatus
646,84,0.218141666666666,Heparin & Glucose,Bacteroides ovatus
647,84,0.218901666666666,Heparin & Glucose,Bacteroides ovatus
660,84,0.0804166666666667,Heparin,Bacteroides thetaiotaomicron
661,84,0.09166666666667,Heparin,Bacteroides thetaiotaomicron
662,84,0.0903166666666667,Heparin,Bacteroides thetaiotaomicron
663,84,0.217191666666666,Heparin & Glucose,Bacteroides thetaiotaomicron
664,84,0.215341666666666,Heparin & Glucose,Bacteroides thetaiotaomicron
665,84,0.215321666666666,Heparin & Glucose,Bacteroides thetaiotaomicron
723,96,0.067,Heparin,Bacteroides ovatus
724,96,0.0668,Heparin,Bacteroides ovatus
725,96,0.0658,Heparin,Bacteroides ovatus
726,96,0.2215,Heparin & Glucose,Bacteroides ovatus
727,96,0.2337,Heparin & Glucose,Bacteroides ovatus
728,96,0.2035,Heparin & Glucose,Bacteroides ovatus
732,96,0.0767,Heparin,Bacteroides thetaiotaomicron
733,96,0.0702,Heparin,Bacteroides thetaiotaomicron
734,96,0.0686,Heparin,Bacteroides thetaiotaomicron
735,96,0.21973,Heparin & Glucose,Bacteroides thetaiotaomicron
736,96,0.2555,Heparin & Glucose,Bacteroides thetaiotaomicron
737,96,0.21858,Heparin & Glucose,Bacteroides thetaiotaomicron
759,108,0.065,Heparin,Bacteroides ovatus
760,108,0.0671,Heparin,Bacteroides ovatus
761,108,0.0676,Heparin,Bacteroides ovatus
762,108,0.2271,Heparin & Glucose,Bacteroides ovatus
763,108,0.2157,Heparin & Glucose,Bacteroides ovatus
764,108,0.2222,Heparin & Glucose,Bacteroides ovatus
768,108,0.0576,Heparin,Bacteroides thetaiotaomicron
769,108,0.0702,Heparin,Bacteroides thetaiotaomicron
770,108,0.0689,Heparin,Bacteroides thetaiotaomicron
771,108,0.22887,Heparin & Glucose,Bacteroides thetaiotaomicron
772,108,0.2275,Heparin & Glucose,Bacteroides thetaiotaomicron
773,108,0.22406,Heparin & Glucose,Bacteroides thetaiotaomicron
792,0,0.0,NC,Bacteroides ovatus
793,0,0.0,NC,Bacteroides ovatus
794,0,0.0,NC,Bacteroides ovatus
798,0,0.0,NC,Bacteroides thetaiotaomicron
799,0,0.0,NC,Bacteroides thetaiotaomicron
800,0,0.0,NC,Bacteroides thetaiotaomicron
816,12,0.0,NC,Bacteroides ovatus
817,12,0.0,NC,Bacteroides ovatus
818,12,0.0,NC,Bacteroides ovatus
822,12,0.0,NC,Bacteroides thetaiotaomicron
823,12,0.0,NC,Bacteroides thetaiotaomicron
824,12,0.0,NC,Bacteroides thetaiotaomicron
840,24,0.0,NC,Bacteroides ovatus
841,24,0.0,NC,Bacteroides ovatus
842,24,0.0,NC,Bacteroides ovatus
846,24,0.0,NC,Bacteroides thetaiotaomicron
847,24,0.0,NC,Bacteroides thetaiotaomicron
848,24,0.0,NC,Bacteroides thetaiotaomicron
864,36,0.000366666666666671,NC,Bacteroides ovatus
865,36,0.000366666666666671,NC,Bacteroides ovatus
866,36,-0.000433333333333331,NC,Bacteroides ovatus
870,36,6.66666666666697e-05,NC,Bacteroides thetaiotaomicron
871,36,0.00356666666666667,NC,Bacteroides thetaiotaomicron
