,means,measure,replicate,treatment
1,1.0,SARS-CoV-2 Spike,1,NT
2,1.0,SARS-CoV-2 Spike,2,NT
3,1.0,SARS-CoV-2 Spike,3,NT
4,0.1394580304031725,SARS-CoV-2 Spike,1,HSase
5,0.12521739130434784,SARS-CoV-2 Spike,2,HSase
6,0.15643671917436175,SARS-CoV-2 Spike,3,HSase
7,1.1943159286186384,SARS-CoV-2 Spike,1,EcN (WT) Sup.
8,1.0202898550724637,SARS-CoV-2 Spike,2,EcN (WT) Sup.
9,1.309614340032591,SARS-CoV-2 Spike,3,EcN (WT) Sup.
10,0.14210178453403832,SARS-CoV-2 Spike,1,EcN (WT) Sup. + HSase
11,0.1055072463768116,SARS-CoV-2 Spike,2,EcN (WT) Sup. + HSase
12,0.12547528517110265,SARS-CoV-2 Spike,3,EcN (WT) Sup. + HSase
13,0.16787838730998017,SARS-CoV-2 Spike,1,EcN (BT4662-BT4675) Sup.
14,0.11826086956521739,SARS-CoV-2 Spike,2,EcN (BT4662-BT4675) Sup.
15,0.14177077675176533,SARS-CoV-2 Spike,3,EcN (BT4662-BT4675) Sup.
16,0.18506278916060806,SARS-CoV-2 Spike,1,EcN (BT4662-BT4675) Sup. 1:2
17,0.1263768115942029,SARS-CoV-2 Spike,2,EcN (BT4662-BT4675) Sup. 1:2
18,0.15535035306898426,SARS-CoV-2 Spike,3,EcN (BT4662-BT4675) Sup. 1:2
19,0.19365499008592202,SARS-CoV-2 Spike,1,EcN (BT4662-BT4675) Sup. 1:5
20,0.15188405797101448,SARS-CoV-2 Spike,2,EcN (BT4662-BT4675) Sup. 1:5
21,0.16784356328082564,SARS-CoV-2 Spike,3,EcN (BT4662-BT4675) Sup. 1:5
22,0.1381361533377396,SARS-CoV-2 Spike,1,BT4662
23,0.10202898550724637,SARS-CoV-2 Spike,2,BT4662
24,0.12927756653992395,SARS-CoV-2 Spike,3,BT4662
25,0.23463317911434237,SARS-CoV-2 Spike,1,EcN BT4662 10ug/ml
26,0.1681159420289855,SARS-CoV-2 Spike,2,EcN BT4662 10ug/ml
27,0.1868549701249321,SARS-CoV-2 Spike,3,EcN BT4662 10ug/ml
1,1.0,anti-HS (10E4),1,NT
2,1.0,anti-HS (10E4),2,NT
3,1.0,anti-HS (10E4),3,NT
4,0.007664837557704033,anti-HS (10E4),1,HSase
5,0.006249511756893993,anti-HS (10E4),2,HSase
6,0.008705114254624592,anti-HS (10E4),3,HSase
7,1.1409284905496038,anti-HS (10E4),1,EcN (WT) Sup.
8,1.1715490977267402,anti-HS (10E4),2,EcN (WT) Sup.
9,1.6531556039173014,anti-HS (10E4),3,EcN (WT) Sup.
10,0.004877623900357112,anti-HS (10E4),1,EcN (WT) Sup. + HSase
11,0.00414030153894227,anti-HS (10E4),2,EcN (WT) Sup. + HSase
12,0.004624591947769314,anti-HS (10E4),3,EcN (WT) Sup. + HSase
13,0.35101471997212785,anti-HS (10E4),1,EcN (BT4662-BT4675) Sup.
14,0.3530192953675494,anti-HS (10E4),2,EcN (BT4662-BT4675) Sup.
15,0.43398621690243017,anti-HS (10E4),3,EcN (BT4662-BT4675) Sup.
16,0.4874139883285428,anti-HS (10E4),1,EcN (BT4662-BT4675) Sup. 1:2
17,0.4446527615030076,anti-HS (10E4),2,EcN (BT4662-BT4675) Sup. 1:2
18,0.5242110990206746,anti-HS (10E4),3,EcN (BT4662-BT4675) Sup. 1:2
19,0.8757076909676857,anti-HS (10E4),1,EcN (BT4662-BT4675) Sup. 1:5
20,0.8870400749941411,anti-HS (10E4),2,EcN (BT4662-BT4675) Sup. 1:5
21,1.1253173739571998,anti-HS (10E4),3,EcN (BT4662-BT4675) Sup. 1:5
22,0.7240658479226548,anti-HS (10E4),1,BT4662
23,0.7297086165143348,anti-HS (10E4),2,BT4662
24,0.7667754805948495,anti-HS (10E4),3,BT4662
25,1.3451789913770578,anti-HS (10E4),1,EcN BT4662 10ug/ml
26,1.339426607296305,anti-HS (10E4),2,EcN BT4662 10ug/ml
27,1.6873413130214001,anti-HS (10E4),3,EcN BT4662 10ug/ml
6,0.09480519480519481,SARS-CoV-2 Spike,1,BT4652
7,0.13409378960709759,SARS-CoV-2 Spike,2,BT4652
8,0.0822477650063857,SARS-CoV-2 Spike,3,BT4652
3,0.14597402597402598,SARS-CoV-2 Spike,1,HSase
4,0.13079847908745248,SARS-CoV-2 Spike,2,HSase
5,0.11826309067688379,SARS-CoV-2 Spike,3,HSase
0,1.0,SARS-CoV-2 Spike,1,NT
1,1.0,SARS-CoV-2 Spike,2,NT
2,1.0,SARS-CoV-2 Spike,3,NT
6,0.13773987206823027,anti-HS (10E4),1,BT4652
7,0.1406099518459069,anti-HS (10E4),2,BT4652
8,0.13222287735849056,anti-HS (10E4),3,BT4652
3,0.003411513859275053,anti-HS (10E4),1,HSase
4,0.004975922953451044,anti-HS (10E4),2,HSase
5,0.0036851415094339623,anti-HS (10E4),3,HSase
0,1.0,anti-HS (10E4),1,NT
1,1.0,anti-HS (10E4),2,NT
2,1.0,anti-HS (10E4),3,NT
