,10E4,Spike,treatment
1,11481.0,1513.0,NT
2,12801.0,1725.0,NT
3,11028.0,1841.0,NT
4,88.0,211.0,HSase
5,80.0,216.0,HSase
6,96.0,288.0,HSase
7,13099.0,1807.0,EcN (WT) Sup.
8,14997.0,1760.0,EcN (WT) Sup.
9,18231.0,2411.0,EcN (WT) Sup.
10,56.0,215.0,EcN (WT) Sup. + HSase
11,53.0,182.0,EcN (WT) Sup. + HSase
12,51.0,231.0,EcN (WT) Sup. + HSase
13,4030.0,254.0,EcN (BT4662-BT4675) Sup.
14,4519.0,204.0,EcN (BT4662-BT4675) Sup.
15,4786.0,261.0,EcN (BT4662-BT4675) Sup.
16,5596.0,280.0,EcN (BT4662-BT4675) Sup. 1:2
17,5692.0,218.0,EcN (BT4662-BT4675) Sup. 1:2
18,5781.0,286.0,EcN (BT4662-BT4675) Sup. 1:2
19,10054.0,293.0,EcN (BT4662-BT4675) Sup. 1:5
20,11355.0,262.0,EcN (BT4662-BT4675) Sup. 1:5
21,12410.0,309.0,EcN (BT4662-BT4675) Sup. 1:5
22,8313.0,209.0,BT4662
23,9341.0,176.0,BT4662
24,8456.0,238.0,BT4662
25,15444.0,355.0,EcN BT4662 10ug/ml
26,17146.0,290.0,EcN BT4662 10ug/ml
27,18608.0,344.0,EcN BT4662 10ug/ml
0,12663.0,1673.913043478261,NT
1,11214.0,1715.217391304348,NT
2,12211.2,1702.1739130434785,NT
3,43.2,244.34782608695653,HSase
4,55.800000000000004,224.34782608695653,HSase
5,45.0,201.30434782608697,HSase
6,1744.2,158.69565217391306,BT4652
7,1576.8,230.00000000000003,BT4652
8,1614.6000000000001,140.0,BT4652
