,value,Target,taxa,CAZy.ID,pathway_completeness_abundance,pathway_capacity
493,3.2.1.166,Heparan Sulfate,Teredinibacter turnerae,GH79,1,2.45569995384992
494,3.2.1.166,Heparan Sulfate,Brachybacterium faecium,GH79,1,2.32273342410733
495,3.2.1.166,Heparan Sulfate,Novosphingobium aromaticivorans,GH79,0,0.7665646972674259
496,3.2.1.166,Heparan Sulfate,Solibacter usitatus,GH79,1,3.6943821763069398
497,3.2.1.166,Heparan Sulfate,Saccharophagus degradans,GH79,0,2.10550242228245
498,3.2.1.166,Heparan Sulfate,Bradyrhizobium diazoefficiens,GH79,1,3.16683422685352
499,3.2.1.166,Heparan Sulfate,Burkholderia pseudomallei,GH79,1,3.9321976701050496
500,3.2.1.166,Heparan Sulfate,Acidobacterium capsulatum,GH79,1,2.32592530880298
501,3.2.1.166,Heparan Sulfate,Burkholderia mallei,GH79,1,3.7275489142933305
502,3.2.1.166,Heparan Sulfate,Catenulispora acidiphila,GH79,1,2.8865341235953905
503,3.2.1.166,Heparan Sulfate,Streptococcus uberis,GH79,1,4.2091536391304
504,3.2.1.166,Heparan Sulfate,Burkholderia pseudomallei,GH79,1,3.9321976701050496
505,3.2.1.166,Heparan Sulfate,Solibacter usitatus,GH79,1,3.6943821763069398
506,3.2.1.166,Heparan Sulfate,Burkholderia pseudomallei,GH79,1,3.9321976701050496
507,3.2.1.166,Heparan Sulfate,Burkholderia pseudomallei,GH79,1,3.9321976701050496
508,3.2.1.166,Heparan Sulfate,Catenulispora acidiphila,GH79,1,2.8865341235953905
509,3.2.1.166,Heparan Sulfate,Sediminispirochaeta smaragdinae,GH79,1,4.1006158951343
510,3.2.1.166,Heparan Sulfate,Marinomonas sp.,GH79,1,3.07545145861567
25224,3.2.1.31,Heparan Sulfate,Caulobacter segnis,GH2,1,2.1633704778562097
25225,3.2.1.31,Heparan Sulfate,Chitinophaga pinensis,GH2,1,3.13218186064423
25226,3.2.1.31,Heparan Sulfate,Solibacter usitatus,GH2,1,3.6943821763069398
25227,3.2.1.31,Heparan Sulfate,Ochrobactrum anthropi,GH2,1,3.03545983023102
