G000003135	Bifidobacterium longum subsp. longum ATCC 55813
G000003215	Clostridioides difficile QCD-66c26
G000003645	Bacillus cereus m1293
G000003925	Bacillus mycoides DSM 2048
G000003955	Bacillus cereus AH1273
G000005825	Bacillus pseudofirmus OF4
G000006155	Bacillus anthracis str. A2012
G000006175	Methanococcus voltae A3
G000006605	Corynebacterium jeikeium K411
G000006625	Ureaplasma parvum serovar 3 str. ATCC 700970
G000006665	Escherichia coli O157:H7 str. EDL933
G000006725	Xylella fastidiosa 9a5c
G000006745	Vibrio cholerae O1 biovar El Tor str. N16961
G000006785	Streptococcus pyogenes M1 GAS
G000006805	Halobacterium salinarum NRC-1
G000006825	Pasteurella multocida subsp. multocida str. Pm70
G000006845	Neisseria gonorrhoeae FA 1090
G000006865	Lactococcus lactis subsp. lactis Il1403
G000006885	Streptococcus pneumoniae TIGR4
G000006925	Shigella flexneri 2a str. 301
G000006965	Sinorhizobium meliloti 1021
G000006985	Chlorobium tepidum TLS
G000007005	Sulfolobus solfataricus P2
G000007025	Rickettsia conorii str. Malish 7
G000007065	Methanosarcina mazei Go1
G000007085	Caldanaerobacter subterraneus subsp. tengcongensis MB4
G000007105	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
G000007145	Xanthomonas campestris pv. campestris str. ATCC 33913
G000007165	Xanthomonas axonopodis pv. citri str. 306
G000007185	Methanopyrus kandleri AV19
G000007205	Chlamydophila pneumoniae TW-183
G000007225	Pyrobaculum aerophilum str. IM2
G000007245	Xylella fastidiosa Temecula1
G000007265	Streptococcus agalactiae 2603V/R
G000007285	Streptococcus pyogenes MGAS8232
G000007305	Pyrococcus furiosus DSM 3638
G000007325	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
G000007345	Methanosarcina acetivorans C2A
G000007365	Buchnera aphidicola str. Sg (Schizaphis graminum)
G000007385	Xanthomonas oryzae pv. oryzae KACC 10331
G000007405	Shigella flexneri 2a str. 2457T
G000007425	Streptococcus pyogenes MGAS315
G000007445	Escherichia coli CFT073
G000007465	Streptococcus mutans UA159
G000007485	Tropheryma whipplei str. Twist
G000007505	Brucella suis 1330
G000007525	Bifidobacterium longum NCC2705
G000007545	Salmonella enterica subsp. enterica serovar Typhi str. Ty2
G000007565	Pseudomonas putida KT2440
G000007585	Porphyromonas gingivalis W83
G000007605	Chlamydophila caviae GPIC
G000007625	Clostridium tetani E88
G000007645	Staphylococcus epidermidis ATCC 12228
G000007665	Leifsonia xyli subsp. xyli str. CTCB07
G000007685	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130
G000007705	Chromobacterium violaceum ATCC 12472
G000007725	Buchnera aphidicola str. Bp (Baizongia pistaciae)
G000007745	Mannheimia succiniciproducens MBEL55E
G000007765	Coxiella burnetii RSA 493
