,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
age,-0.06706877203013815,0.039696360709100896,-1.689544603890144,0.09116063781639278,-0.1448859652742548,0.010748421213978468
sex,-0.0793580994417387,0.015442704941956167,-5.138872997963672,2.840390026699576e-07,-0.10963059629570272,-0.04908560258777468
diabetes,0.0859519763288656,0.0823890014272989,1.0432457590193118,0.29687131701305886,-0.07555604936246811,0.2474600020201993
ex-smoker,-0.046402245470568114,0.039050840111409274,-1.1882521691770471,0.23477528921591906,-0.12295401790037541,0.03014952695923919
BMI,0.0028655999802218047,0.003193028562905029,0.8974551663937109,0.3695076411956336,-0.0033937274814162376,0.009124927441859847
asthma,0.09028866958697922,0.04294072681960249,2.102634870767077,0.0355341119421236,0.0061115113469357996,0.17446582782702263
cancer,-0.0565542847923966,0.06933504853169654,-0.8156666215722456,0.4147192073610271,-0.1924725093802807,0.0793639397954875
cardiovascular disease,0.023468088845506507,0.08600717468536845,0.2728619900764965,0.7849675344224931,-0.14513267992313766,0.19206885761415066
liver fibrosis or cirrhosis,-1.0143218291618816,0.5129512213700519,-1.9774235578437824,0.048033815283557546,-2.019865501305299,-0.008778157018464627
autoimmune disease,0.10783750473838216,0.08319508865728907,1.2962003704642253,0.1949501492549099,-0.055250702224666465,0.27092571170143076
