,taxa,CAZy.ID,pathway_capacity,pathway_completeness_abundance
493,Teredinibacter turnerae,GH79,2.45569995384992,1
494,Brachybacterium faecium,GH79,2.32273342410733,1
495,Novosphingobium aromaticivorans,GH79,0.7665646972674259,0
496,Solibacter usitatus,GH79,3.69438217630694,1
497,Saccharophagus degradans,GH79,2.10550242228245,0
498,Bradyrhizobium diazoefficiens,GH79,3.16683422685352,1
499,Burkholderia pseudomallei,GH79,3.9321976701050496,1
500,Acidobacterium capsulatum,GH79,2.32592530880298,1
501,Burkholderia mallei,GH79,3.7275489142933305,1
502,Catenulispora acidiphila,GH79,2.8865341235953905,1
503,Streptococcus uberis,GH79,4.2091536391304,1
504,Burkholderia pseudomallei,GH79,3.9321976701050496,1
505,Solibacter usitatus,GH79,3.69438217630694,1
506,Burkholderia pseudomallei,GH79,3.9321976701050496,1
507,Burkholderia pseudomallei,GH79,3.9321976701050496,1
508,Catenulispora acidiphila,GH79,2.8865341235953905,1
509,Sediminispirochaeta smaragdinae,GH79,4.1006158951343,1
510,Marinomonas sp.,GH79,3.07545145861567,1
25224,Caulobacter segnis,GH2,2.1633704778562097,1
25225,Chitinophaga pinensis,GH2,3.13218186064423,1
25226,Solibacter usitatus,GH2,3.69438217630694,1
25227,Ochrobactrum anthropi,GH2,3.03545983023102,1
25228,Erwinia sp.,GH2,2.9197171442817904,1
25229,Bifidobacterium bifidum,GH2,5.0138339650387005,1
25230,Pedobacter heparinus,GH2,3.537943992320109,1
25231,Escherichia coli,GH2,4.951896640835541,1
25232,Thermotoga naphthophila,GH2,2.30188335116755,1
25233,Escherichia coli,GH2,4.951896640835541,1
25234,Enterobacter agglomerans,GH2,1.32717812314949,0
25235,Shigella boydii,GH2,4.46740066481724,1
25236,Opitutus terrae,GH2,2.84900016087073,1
25237,Roseburia intestinalis,GH2,5.494855325243268,1
25238,Escherichia coli,GH2,4.951896640835541,1
25239,Streptomyces scabiei,GH2,2.58395741874664,1
25240,Bacteroides fragilis,GH2,5.3304405525083,1
25241,Geobacter bemidjiensis,GH2,2.99333607056611,1
25242,Butyrivibrio proteoclasticus,GH2,4.21337592324907,1
25243,Prevotella ruminicola,GH2,4.4647447951226695,1
25244,Bacteroides fragilis,GH2,5.3304405525083,1
25245,Escherichia coli,GH2,4.951896640835541,1
25246,Escherichia coli,GH2,4.951896640835541,1
25247,Nostoc punctiforme,GH2,2.37668225845304,1
25248,Bacteroides fragilis,GH2,5.3304405525083,1
25249,Deinococcus geothermalis,GH2,2.5287326529694303,1
25250,Thermobaculum terrenum,GH2,2.79176510014744,1
25251,Shigella dysenteriae,GH2,4.38956589949009,1
25252,Ruminiclostridium cellulolyticum,GH2,4.26150962751106,1
25253,Escherichia coli,GH2,4.951896640835541,1
25254,Nocardiopsis dassonvillei,GH2,2.73171608767385,1
25255,Shigella flexneri,GH2,4.38421820190403,1
25256,Roseburia intestinalis,GH2,5.494855325243268,1
25257,Escherichia coli,GH2,4.951896640835541,1
25258,Bifidobacterium bifidum,GH2,5.0138339650387005,1
25259,Streptococcus mitis,GH1,4.43215794895412,1
25260,Lactobacillus plantarum,GH2,3.4832886780958905,1
25261,Flavobacterium johnsoniae,GH2,3.52515534105155,1
25262,Parabacteroides distasonis,GH2,5.50032629968351,1
25263,Paenibacillus sp.,GH2,3.71630119162046,1
25264,Faecalibacterium prausnitzii,GH2,5.70310455655676,1
25265,Escherichia coli,GH2,4.951896640835541,1
25266,Lactobacillus helveticus,GH2,4.19120836090101,1
25267,Pseudothermotoga lettingae,GH2,2.00306092804824,1
25268,Shewanella amazonensis,GH2,2.21211605016398,1
25269,Geobacillus sp.,GH2,3.64830473035353,1
25270,Streptococcus pneumoniae,GH2,3.8980096134335898,1
25271,Bifidobacterium bifidum,GH2,5.0138339650387005,1
25272,Yersinia pestis,GH2,3.43316780461944,1
25273,Escherichia coli,GH2,4.951896640835541,1
25274,Listeria monocytogenes,GH1,2.65216206348982,1
25275,Geobacter sp.,GH2,3.05441933702869,1
25276,Dyadobacter fermentans,GH2,3.41798356307307,1
25277,Kribbella flavida,GH2,2.57475751184268,1
25278,Escherichia coli,GH2,4.951896640835541,1
25279,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25280,Solibacter usitatus,GH2,3.69438217630694,1
25281,Shigella dysenteriae,GH2,4.38956589949009,1
25282,Capnocytophaga ochracea,GH2,3.16831196133327,1
25283,Paraburkholderia phytofirmans,GH2,3.21698638049074,1
25284,Frankia sp.,GH2,2.89027335739317,1
25285,Sinorhizobium medicae,GH2,2.84019845261457,1
25286,Escherichia coli,GH2,4.951896640835541,1
25287,Cronobacter sakazakii,GH2,3.66391710192657,1
25288,Xylanimonas cellulosilytica,GH2,3.1691527315829,1
25289,Gramella forsetii,GH2,3.3118484505669703,1
25290,Faecalibacterium prausnitzii,GH2,5.70310455655676,1
25291,Streptococcus thermophilus,GH2,3.2381812750938703,1
25292,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25293,Pantoea ananatis,GH2,3.1966861500678,1
25294,Brevundimonas subvibrioides,GH2,2.5254862740124504,1
25295,Parabacteroides distasonis,GH2,5.50032629968351,1
25296,Bifidobacterium longum,GH2,5.04975962481765,1
25297,Ruminococcus gnavus,GH2,5.3965235103622495,1
25298,Escherichia coli,GH2,4.951896640835541,1
25299,Pediococcus pentosaceus,GH1,3.7004506767350094,1
25300,Shigella flexneri,GH1,4.38421820190403,1
25301,Coraliomargarita akajimensis,GH2,3.0183552613307403,1
25302,Roseburia intestinalis,GH2,5.494855325243268,1
25303,Escherichia coli,GH2,4.951896640835541,1
25304,Prevotella ruminicola,GH2,4.4647447951226695,1
25305,Escherichia coli,GH2,4.951896640835541,1
25306,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
